RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.181,P,"Develop and document request to accumulate and record depreciation amount, including line of accounting information using standard accounting code structure, and document results",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.182,O,"Provide request to accumulate and record depreciation amount, including line of accounting information using standard accounting code structure ",,
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.191,I,Capture deferred or seasonal real property asset and/or component inspections or testing information,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.192,P,Evaluate deferred or seasonal real property asset and/or component inspections or testing information against agreement and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.193,O,"Provide evaluation results for deferred or seasonal real property asset and/or component inspections or testing information against agreement, including inspection and testing failures",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.201,P,"Develop notification of deferred or seasonal real property asset and/or component inspection and testing failures, request corrective action plan, and document results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.202,O,Provide notification of deferred or seasonal real property asset and/or component inspection and testing failures and request for corrective action plan,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.211,I,Capture corrective action plan or updates to corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.212,P,Evaluate corrective action plan or updates to corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.213,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.221,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.222,O,Provide feedback information on corrective action plan or updates to corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures ,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.231,I,Capture status information concerning corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.232,P,Evaluate status information concerning corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures and record results,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.233,O,Provide evaluation results for status information concerning corrective action plan for remedying deferred or seasonal real property asset and/or component inspection and testing failures,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.241,P,"Develop draft real property asset and/or component commissioning report, route for review and feedback, and document results",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.242,O,Provide draft real property asset and/or component commissioning report for review and feedback,,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.251,P,"Develop and document final real property asset and/or component commissioning report, including date put in service and custodian",,GSA Project Management Guide
"RPM.030 Real Property Asset Acquisition, Design, and Commissioning",RPM.030.030 Real Property Asset Acceptance and Commissioning,RPM.030.030.252,O,"Provide final real property asset and/or component commissioning report, including date put in service and custodian",,GSA Project Management Guide
RPM.040 Real Property Asset Operation,RPM.040.010 Real Property Asset Information Management,RPM.040.010.011,P,Develop and document request for unique identifier for new or existing real property asset and/or component and document results,"DoD Instruction 4165.14, “Real Property Inventory and Forecasting”",Department of Defense Real Property Mission Process Map
RPM.040 Real Property Asset Operation,RPM.040.010 Real Property Asset Information Management,RPM.040.010.012,O,Provide request for unique identifier for new or existing real property asset and/or component and document results,"DoD Instruction 4165.14, “Real Property Inventory and Forecasting”",Department of Defense Real Property Mission Process Map
RPM.040 Real Property Asset Operation,RPM.040.010 Real Property Asset Information Management,RPM.040.010.021,P,Determine and document unique identifier for new or existing real property asset and/or component,"DoD Instruction 4165.14, “Real Property Inventory and Forecasting”",Department of Defense Real Property Mission Process Map
RPM.040 Real Property Asset Operation,RPM.040.010 Real Property Asset Information Management,RPM.040.010.022,O,Provide unique identifier for new or existing real property asset and/or component,"DoD Instruction 4165.14, “Real Property Inventory and Forecasting”",Department of Defense Real Property Mission Process Map
RPM.040 Real Property Asset Operation,RPM.040.010 Real Property Asset Information Management,RPM.040.010.023,O,Provide unique identifier for new or existing real property asset and/or component to OMB-designated repository,"DoD Instruction 4165.14, “Real Property Inventory and Forecasting”",
